Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
6	2	2008	9.4444	18.4444	13.65	3.1023
7	2	2008	1.1111	12.7778	0.0	2.4805
8	2	2008	1.6667	14.4444	0.0	2.6553999999999998
9	2	2008	4.4444	17.7778	0.0	3.6313
10	2	2008	4.4444	17.2222	0.0	4.447
11	2	2008	-0.8333	18.3333	0.0	3.391
12	2	2008	8.3333	19.4444	0.1	3.5812
13	2	2008	-3.3333	13.75	6.5	1.2186
14	2	2008	-5.0	13.3333	0.0	2.001
15	2	2008	1.1111	16.6667	0.0	2.6723
16	2	2008	9.4444	19.4444	0.0	3.128
17	2	2008	11.1111	20.0	10.999999999999998	3.0114
18	2	2008	5.0	15.0	0.0	2.6857
19	2	2008	1.1111	13.3333	0.0	3.3383
20	2	2008	1.1111	17.7778	0.0	3.6917
21	2	2008	6.6667	11.1111	16.9	1.9053
22	2	2008	5.0	8.8889	6.95	1.5545
23	2	2008	2.7778	10.0	0.55	1.7447
24	2	2008	0.5556	15.0	0.05	2.2972
25	2	2008	5.5556	17.7778	0.0	2.8997
26	2	2008	3.3333	15.8333	8.5	2.622
27	2	2008	-2.2222	2.963	0.35000000000000003	2.0513
28	2	2008	-5.0	8.8889	0.0	2.0678
29	2	2008	2.2222	14.4444	0.15000000000000002	3.4045
1	3	2008	8.0556	18.3333	0.15000000000000002	3.8564
2	3	2008	6.1111	21.1111	0.0	4.0024
3	3	2008	7.7778	21.6667	0.0	4.4226
4	3	2008	8.3333	21.1111	32.099999999999994	3.4824
5	3	2008	1.1111	13.8889	0.0	2.6317
6	3	2008	2.7778	20.0	0.0	3.6243
7	3	2008	10.8333	20.0	14.95	3.1707
8	3	2008	0.1389	15.6944	1.35	1.9527999999999999
9	3	2008	-1.6667	12.7778	0.0	2.2746
10	3	2008	3.8889	17.7778	0.0	3.5676
11	3	2008	7.2222	13.3333	0.0	2.8578
12	3	2008	2.7778	19.4444	0.0	3.9444
13	3	2008	10.0	21.6667	0.0	5.114
14	3	2008	11.1111	17.2222	29.200000000000003	3.0069
15	3	2008	12.7778	22.7778	10.1	3.5713
16	3	2008	8.3333	18.3333	0.0	4.1304
17	3	2008	7.7778	18.3333	0.0	4.346
18	3	2008	10.5556	22.2222	0.0	4.0663
19	3	2008	12.2222	19.1667	30.1	3.2758
20	3	2008	5.0	15.5556	0.0	4.3046
21	3	2008	5.0	20.0	0.0	4.3128
22	3	2008	9.4444	22.2222	0.0	5.8634
23	3	2008	2.7778	15.0	0.0	4.3972
24	3	2008	0.5556	8.8889	0.0	3.2912
25	3	2008	-0.5556	14.4444	0.0	3.6244
26	3	2008	3.8889	20.0	0.0	4.4615
27	3	2008	8.3333	22.7778	0.0	4.922
28	3	2008	12.7778	21.1111	0.0	3.6469
29	3	2008	11.3889	23.3333	25.9	3.825
30	3	2008	6.1111	10.0	1.9500000000000002	2.0339
31	3	2008	6.1111	13.3333	0.65	2.4311
1	4	2008	12.7778	23.3333	1.05	3.8792999999999997
2	4	2008	13.1481	24.4444	0.0	4.6206
3	4	2008	8.0556	18.3333	1.25	2.7772
4	4	2008	7.7778	20.5556	25.150000000000002	2.9899999999999998
5	4	2008	13.8889	16.1111	12.5	3.1694
6	4	2008	11.6667	18.8889	0.0	3.7512000000000003
7	4	2008	12.2222	17.2222	0.1	2.9908
8	4	2008	12.7778	20.5556	0.0	4.2149
9	4	2008	10.0	23.3333	0.0	4.2861
10	4	2008	13.3333	24.4444	0.0	4.9115
11	4	2008	17.2222	27.2222	7.3500000000000005	5.5578
12	4	2008	13.3333	17.7778	1.3	4.3628
13	4	2008	6.1111	14.4444	0.0	4.5617
14	4	2008	2.2222	9.4444	0.4	2.9515000000000002
15	4	2008	2.2222	16.1111	0.0	3.9624
16	4	2008	5.5556	20.0	0.0	4.5778
17	4	2008	9.4444	23.3333	0.0	4.8385
18	4	2008	11.1111	23.8889	0.0	5.6762
19	4	2008	13.8889	21.6667	2.05	4.9506
20	4	2008	10.0	22.2222	0.0	5.4585
21	4	2008	10.5556	23.8889	0.0	5.4756
22	4	2008	12.2222	24.4444	0.0	5.1218
23	4	2008	14.4444	26.1111	0.0	5.6395
24	4	2008	13.8889	25.5556	0.0	5.3643
25	4	2008	17.2222	26.1111	0.05	5.6215
26	4	2008	17.2222	26.3889	3.25	4.7754
27	4	2008	16.6667	20.0	8.0	4.5139
28	4	2008	11.1111	18.8889	2.9	4.3486
29	4	2008	6.1111	17.2222	0.0	4.7291
30	4	2008	6.1111	23.3333	0.0	5.2328
1	5	2008	12.7778	26.1111	0.0	6.6481
2	5	2008	15.0	26.6667	0.0	6.3298
3	5	2008	15.5556	21.1111	0.6	4.5122
4	5	2008	15.0	25.5556	0.1	5.5584
5	5	2008	11.6667	25.0	0.0	6.5595
6	5	2008	11.6667	26.6667	0.0	5.7086
7	5	2008	16.1111	27.2222	0.0	6.2829
8	5	2008	18.3333	27.7778	1.95	6.6287
9	5	2008	17.7778	26.1111	0.45	5.2515
10	5	2008	19.4444	26.1111	0.0	5.5907
11	5	2008	15.0	24.4444	50.0	6.6554
12	5	2008	11.1111	21.6667	0.0	5.7956
13	5	2008	11.1111	23.3333	0.0	5.4813
14	5	2008	14.4444	22.2222	0.1	4.8986
15	5	2008	17.2222	20.5556	24.650000000000002	4.2265
16	5	2008	12.7778	23.8889	0.0	4.922
17	5	2008	9.4444	22.7778	0.0	5.4948999999999995
18	5	2008	15.0	24.4444	0.55	5.9505
19	5	2008	15.0	27.2222	0.75	6.147
20	5	2008	18.8889	28.3333	2.3000000000000003	6.3995
21	5	2008	14.4444	25.0	0.0	6.1044
22	5	2008	14.4444	27.2222	0.0	6.2242
23	5	2008	20.0	28.8889	0.5	5.6862
24	5	2008	17.2222	30.0	0.0	6.6015
25	5	2008	17.2222	27.2222	0.0	5.9586
26	5	2008	16.6667	27.2222	0.0	6.0256
27	5	2008	18.8889	29.4444	0.1	6.1279
28	5	2008	20.5556	27.2222	0.65	5.6373
29	5	2008	15.0	25.0	0.35000000000000003	4.6455
30	5	2008	17.7778	27.7778	0.0	5.4878
31	5	2008	21.1111	31.1111	0.0	6.9203
1	6	2008	20.5556	29.4444	0.05	6.1599
2	6	2008	20.5556	30.5556	0.0	6.5217
3	6	2008	20.5556	31.1111	0.0	6.8812
4	6	2008	22.7778	31.6667	0.0	7.2053
5	6	2008	22.2222	32.7778	0.0	7.1829
6	6	2008	23.8889	33.3333	0.0	7.638
7	6	2008	23.3333	33.3333	0.0	7.3308
8	6	2008	24.4444	35.0	0.0	7.2975
9	6	2008	22.5	36.1111	0.35	8.2098
10	6	2008	20.5556	31.6667	0.05	6.5618
11	6	2008	21.6667	32.2222	0.30000000000000004	6.7154
12	6	2008	20.5556	31.1111	0.35000000000000003	6.9546
13	6	2008	21.6667	31.1111	0.0	6.9948
14	6	2008	22.4074	31.1111	1.6500000000000001	6.2743
15	6	2008	21.6667	32.2222	0.0	7.2349
16	6	2008	20.5556	33.3333	0.0	7.6687
17	6	2008	21.6667	32.2222	0.0	8.4929
18	6	2008	16.1111	29.4444	0.0	8.2078
19	6	2008	16.6667	30.0	0.0	7.9383
20	6	2008	17.7778	31.1111	0.0	6.9652
21	6	2008	19.2593	28.8889	2.3499999999999996	5.9697
22	6	2008	21.6667	30.5556	0.25	6.836
23	6	2008	20.0	31.6667	0.2	7.8057
24	6	2008	18.3333	32.7778	0.0	7.5182
25	6	2008	21.6667	34.4444	0.0	8.0132
26	6	2008	22.7778	32.5	0.3	7.2906
27	6	2008	22.2222	32.7778	0.0	7.8767
28	6	2008	22.2222	31.1111	0.65	6.4806
29	6	2008	19.6296	30.0	8.35	5.9072000000000005
30	6	2008	20.5556	29.4444	0.0	7.4073
1	7	2008	16.6667	28.8889	0.0	7.3865
2	7	2008	18.3333	30.0	0.0	6.8192
3	7	2008	20.5556	32.2222	0.0	7.3144
4	7	2008	22.2222	31.6667	0.35	7.0464
5	7	2008	20.5556	28.8889	15.95	6.0268
6	7	2008	20.0	27.037	10.899999999999999	5.593
7	7	2008	21.1111	30.5556	0.1	6.6245
8	7	2008	22.2222	32.2222	12.2	6.986
9	7	2008	22.7778	31.1111	0.15000000000000002	6.7051
10	7	2008	22.6984	30.0	40.65	5.3947
11	7	2008	22.2222	31.6667	0.1	5.9267
12	7	2008	21.1111	33.3333	0.0	6.313
13	7	2008	22.2222	28.3333	50.599999999999994	4.9655000000000005
14	7	2008	21.9444	31.1111	0.0	6.9761999999999995
15	7	2008	21.6667	30.5556	0.0	6.6929
16	7	2008	21.6667	30.5556	0.0	7.4849
17	7	2008	21.6667	30.5556	0.0	7.6695
18	7	2008	21.6667	31.6667	0.0	7.7819
19	7	2008	22.2222	32.2222	0.0	7.1329
20	7	2008	22.7778	33.8889	0.0	7.8353
21	7	2008	23.0556	34.4444	1.8	7.4578
22	7	2008	21.1111	33.3333	2.5	6.331
23	7	2008	20.5556	30.0	0.1	5.8744000000000005
24	7	2008	21.1111	30.5556	0.0	7.0227
25	7	2008	22.2222	30.5556	0.44999999999999996	5.8996
26	7	2008	22.2222	29.4444	46.50000000000001	5.7668
27	7	2008	22.2222	31.6667	0.0	6.0495
28	7	2008	23.8889	33.3333	0.0	6.9549
29	7	2008	22.7778	32.7778	0.25	6.2337
30	7	2008	22.7778	32.2222	0.0	6.1652000000000005
31	7	2008	22.2222	30.0	29.35	5.7206
1	8	2008	21.6667	31.1111	0.45	5.9762
2	8	2008	22.2222	32.7778	12.55	6.4055
3	8	2008	22.7778	32.2222	0.0	6.0389
4	8	2008	22.2222	32.2222	0.0	6.157
5	8	2008	23.8889	33.3333	0.0	6.5679
6	8	2008	23.8889	33.8889	0.0	7.2185999999999995
7	8	2008	23.3333	31.1111	0.0	6.3817
8	8	2008	21.6667	29.4444	0.0	7.3484
9	8	2008	18.3333	29.4444	0.0	6.174
10	8	2008	19.4444	28.8889	0.0	6.4301
11	8	2008	21.6667	30.5556	0.0	6.9818
12	8	2008	20.5556	27.2222	2.4	5.8588000000000005
13	8	2008	19.6296	27.2222	7.05	4.7806
14	8	2008	20.0	28.3333	0.0	5.2152
15	8	2008	20.0	30.0	0.0	6.2376
16	8	2008	21.6667	29.4444	2.65	5.8291
17	8	2008	21.6667	29.4444	0.0	5.5233
18	8	2008	21.1111	30.0	0.0	5.5211
19	8	2008	20.5556	31.6667	0.0	6.2815
20	8	2008	21.6667	32.2222	0.0	7.0200000000000005
21	8	2008	22.7778	28.8889	0.15000000000000002	6.2002
22	8	2008	22.2222	27.7778	0.35000000000000003	6.3768
23	8	2008	22.2222	25.0	5.85	4.973
24	8	2008	22.037	27.7778	8.950000000000001	4.6492
25	8	2008	21.6667	25.5556	14.0	4.466
26	8	2008	22.2222	27.7778	26.75	4.3314
27	8	2008	21.6667	26.1111	1.0	4.6094
28	8	2008	20.0	30.0	0.0	5.6647
29	8	2008	19.4444	31.1111	0.0	6.1271
30	8	2008	22.7778	31.1111	0.0	5.9985
31	8	2008	22.2222	30.5556	0.0	6.0827
1	9	2008	23.3333	26.6667	0.3	4.9111
2	9	2008	22.2222	29.4444	0.0	5.6166
3	9	2008	20.0	27.7778	0.0	5.2948
4	9	2008	18.3333	29.4444	0.0	5.9164
5	9	2008	19.4444	30.5556	0.0	6.1301
6	9	2008	20.0	30.5556	21.400000000000002	5.0686
7	9	2008	20.5556	31.1111	0.0	5.1685
8	9	2008	23.0556	32.2222	4.449999999999999	5.2711
9	9	2008	22.2222	31.1111	0.05	5.2111
10	9	2008	22.2222	29.4444	0.05	5.2341999999999995
11	9	2008	22.2222	27.2222	0.9	4.542
12	9	2008	22.2222	30.5556	0.9500000000000001	4.8017
13	9	2008	22.7778	30.0	0.0	4.9839
14	9	2008	22.2222	30.0	0.0	5.6362
15	9	2008	19.4444	25.8333	0.0	5.0203
16	9	2008	17.2222	25.5556	0.0	4.6678
17	9	2008	17.5	20.0	0.2	3.5324999999999998
18	9	2008	18.8889	26.6667	0.0	5.0477
19	9	2008	17.2222	26.6667	0.0	5.9322
20	9	2008	16.1111	25.5556	0.0	5.1119
21	9	2008	16.1111	22.7778	0.0	4.3672
22	9	2008	16.6667	28.3333	0.0	5.4314
23	9	2008	17.7778	27.2222	0.0	6.2499
24	9	2008	15.0	25.0	0.0	5.8767000000000005
25	9	2008	13.8889	27.2222	0.0	6.2729
26	9	2008	15.0	26.6667	0.0	5.6473
27	9	2008	15.5556	24.4444	0.0	4.1073
28	9	2008	17.2222	29.4444	0.0	5.0244
29	9	2008	18.8889	30.0	0.0	4.8851
30	9	2008	17.2222	30.0	0.0	5.5107
1	10	2008	14.4444	22.7778	0.0	5.255
2	10	2008	10.5556	22.7778	0.0	4.336
3	10	2008	14.4444	26.1111	0.0	4.0943000000000005
4	10	2008	15.0	27.2222	0.0	4.0317
5	10	2008	15.5556	28.3333	0.0	4.2841000000000005
6	10	2008	15.5556	27.2222	0.0	4.832
7	10	2008	15.5556	27.2222	0.0	5.6345
8	10	2008	17.2222	22.2222	52.2	2.7429
9	10	2008	17.2222	23.3333	0.35000000000000003	3.3065
10	10	2008	18.0556	25.0	0.15	3.7918
11	10	2008	18.8889	25.2778	0.15	4.7921
12	10	2008	16.9444	24.4444	0.30000000000000004	4.6672
13	10	2008	17.7778	25.0	0.25	4.1101
14	10	2008	16.1111	25.5556	0.0	3.6906
15	10	2008	15.0	27.2222	0.0	3.7291
16	10	2008	16.1111	27.2222	0.0	4.1087
17	10	2008	13.8889	20.5556	19.4	2.6232
18	10	2008	10.5556	18.8889	0.05	3.5146
19	10	2008	10.0	17.7778	0.0	3.3675
20	10	2008	6.6667	18.8889	0.0	2.713
21	10	2008	7.7778	22.2222	0.0	3.3080000000000003
22	10	2008	11.1111	19.4444	0.0	3.6619
23	10	2008	9.4444	15.0	0.1	4.2513
24	10	2008	8.8889	12.2222	12.200000000000001	1.6423
25	10	2008	10.0	19.4444	0.65	2.856
26	10	2008	5.5556	21.1111	0.0	3.3232
27	10	2008	5.0	15.0	0.0	3.9696
28	10	2008	2.2222	10.0	0.0	2.4621
29	10	2008	1.1111	14.4444	0.0	2.9092000000000002
30	10	2008	3.8889	17.7778	0.0	2.8872999999999998
31	10	2008	5.0	19.4444	0.0	2.6048
1	11	2008	5.5556	22.2222	0.0	3.036
2	11	2008	6.6667	21.6667	0.0	3.15
3	11	2008	11.1111	21.6667	0.0	3.5149
4	11	2008	12.7778	22.2222	0.0	3.6441
5	11	2008	9.4444	22.2222	0.0	2.6813
6	11	2008	10.0	22.7778	0.0	2.9615
7	11	2008	10.5556	22.2222	6.8	2.6740999999999997
8	11	2008	7.2222	18.3333	0.0	3.4571
9	11	2008	3.8889	14.4444	0.0	2.6875999999999998
10	11	2008	2.2222	16.6667	0.0	2.7580999999999998
11	11	2008	5.0	16.1111	0.0	2.8211
12	11	2008	8.3333	12.7778	0.0	2.9047
13	11	2008	10.8333	15.8333	0.4	2.0682
14	11	2008	12.963	17.7778	4.25	1.722
15	11	2008	5.9259	18.8889	4.45	2.4237
16	11	2008	1.6667	8.8889	0.0	2.0396
17	11	2008	0.5556	15.5556	0.0	2.874
18	11	2008	0.0	5.5556	0.0	2.6462
19	11	2008	-4.4444	10.5556	0.0	2.3292
20	11	2008	2.2222	16.6667	0.0	3.1599
21	11	2008	-0.5556	6.6667	0.0	2.7294
22	11	2008	-4.4444	8.3333	0.0	1.8104
23	11	2008	0.0	13.3333	0.0	1.9975
24	11	2008	7.2222	13.3333	3.3	1.833
25	11	2008	2.2222	12.2222	0.0	2.9582
26	11	2008	-0.5556	14.4444	0.0	2.2336
27	11	2008	2.2222	17.7778	0.0	2.3527
28	11	2008	8.8889	17.2222	1.6	1.9439
29	11	2008	8.8889	13.1481	21.75	1.3894
30	11	2008	5.5556	9.4444	9.6	1.289
1	12	2008	1.6667	6.1111	0.15000000000000002	1.5327
2	12	2008	-0.5556	7.2222	0.0	1.4491
3	12	2008	-1.1111	11.1111	0.0	1.8031
4	12	2008	3.8889	10.8333	7.85	1.4916
5	12	2008	-1.6667	8.8889	0.0	1.7404
6	12	2008	-2.2222	7.7778	0.0	1.7342
7	12	2008	-1.1111	7.2222	0.0	2.0954
8	12	2008	-1.6667	11.6667	0.0	2.1588
9	12	2008	5.0	18.8889	1.05	2.0109
10	12	2008	15.0	17.7778	47.699999999999996	1.8143
11	12	2008	7.2222	17.6389	15.2	1.7836
12	12	2008	1.1111	8.8889	0.25	2.1061
13	12	2008	-2.2222	8.3333	0.0	1.6991
14	12	2008	2.2222	7.7778	0.1	1.6184
15	12	2008	6.1111	17.2222	0.0	1.6815
16	12	2008	12.2222	19.4444	1.1	1.7092
17	12	2008	17.0833	21.1111	0.15000000000000002	1.9693
18	12	2008	16.1111	21.1111	0.75	1.8679000000000001
19	12	2008	14.1667	20.0	0.4	1.8307
20	12	2008	16.6667	20.5556	0.1	2.2231
21	12	2008	-0.5556	18.3333	5.75	2.5949
22	12	2008	-7.7778	0.5556	0.0	1.6772
23	12	2008	-4.4444	8.3333	0.0	2.1733
24	12	2008	4.1667	18.3333	9.7	1.807
25	12	2008	10.2778	15.2778	11.0	1.4554
26	12	2008	9.4444	12.7778	1.5	1.2604
27	12	2008	9.1667	16.6667	0.7000000000000001	1.2906
28	12	2008	11.1111	17.7778	3.7	1.5357
29	12	2008	7.2222	14.4444	0.1	2.6852
30	12	2008	3.3333	18.8889	0.0	2.8686
31	12	2008	1.6667	11.1111	0.0	3.0403000000000002
1	1	2009	-2.2222	8.8889	0.0	2.309
2	1	2009	3.8889	8.3333	3.1	1.4013
3	1	2009	7.7778	14.4444	9.55	1.4255
4	1	2009	12.4074	17.4074	1.6	1.6043
5	1	2009	14.4444	19.0741	6.8500000000000005	1.724
6	1	2009	16.6667	21.6667	3.55	2.4275
7	1	2009	6.6667	13.8889	29.2	2.3164000000000002
8	1	2009	4.4444	13.3333	0.0	2.9493
9	1	2009	-0.5556	15.0	0.0	2.4311000000000003
10	1	2009	5.0	17.037	1.1	2.2529
11	1	2009	0.0	16.1111	3.0500000000000003	1.2849
12	1	2009	-2.2222	11.1111	0.0	1.5025
13	1	2009	1.6667	12.2222	0.0	2.3237
14	1	2009	-4.4444	10.5556	0.0	2.1256
15	1	2009	-5.0	4.4444	0.0	2.3277
16	1	2009	-11.1111	-0.5556	0.0	1.5889
17	1	2009	-7.2222	3.8889	0.30000000000000004	1.8341
18	1	2009	3.3333	11.6667	3.25	1.9536
19	1	2009	0.0	10.0	0.2	1.9531
20	1	2009	-5.5556	0.0	0.0	1.6744999999999999
21	1	2009	-7.7778	4.4444	0.0	1.3934
22	1	2009	-2.7778	11.1111	0.0	2.0821
23	1	2009	2.2222	18.3333	0.0	2.1074
24	1	2009	5.5556	14.4444	3.6	2.1913
25	1	2009	-0.5556	11.6667	0.0	1.7436
26	1	2009	6.6667	10.9259	0.75	1.5775
27	1	2009	6.1111	16.6667	0.1	1.5747
28	1	2009	4.4444	16.1111	3.6	1.4784
29	1	2009	0.5556	10.0	0.0	2.0084
30	1	2009	-0.5556	7.2222	0.0	2.2748
31	1	2009	-0.5556	11.6667	0.0	1.9852
1	2	2009	0.5556	15.5556	0.0	2.7046
2	2	2009	1.1111	13.3333	2.3000000000000003	1.7172
3	2	2009	-3.3333	9.4444	0.0	2.9596999999999998
4	2	2009	-8.8889	0.5556	0.0	1.7597
5	2	2009	-8.3333	6.1111	0.0	1.6156
6	2	2009	-1.6667	16.6667	0.0	2.809
7	2	2009	4.4444	18.8889	0.0	3.3622
8	2	2009	8.3333	20.5556	0.0	2.8003
9	2	2009	8.3333	20.5556	0.0	3.1389
10	2	2009	8.8889	20.5556	0.0	3.3266
11	2	2009	11.6667	19.4444	0.55	2.9792
12	2	2009	8.3333	18.3333	0.0	4.1288
13	2	2009	5.5556	19.4444	0.15000000000000002	3.0754
14	2	2009	9.4444	13.8889	0.35000000000000003	2.1978
15	2	2009	4.4444	16.1111	0.0	2.5999
16	2	2009	1.1111	11.1111	0.0	3.1709
17	2	2009	-1.1111	11.6667	0.35000000000000003	2.6596
18	2	2009	7.7778	20.5556	20.05	2.1756
19	2	2009	1.6667	14.7222	0.0	2.9974
20	2	2009	-3.3333	7.2222	0.0	2.4488
21	2	2009	-1.1111	13.3333	0.0	3.2197999999999998
22	2	2009	0.5556	8.8889	0.15000000000000002	2.9481
23	2	2009	-3.3333	8.8889	0.0	2.6715
24	2	2009	0.0	12.2222	0.1	2.8178
25	2	2009	5.0	13.8889	0.30000000000000004	2.7932
26	2	2009	8.3333	20.0	0.15000000000000002	3.5061
27	2	2009	12.2222	16.1111	15.8	2.4046
28	2	2009	12.2222	19.4444	38.4	2.5238
1	3	2009	0.5556	11.4815	16.85	1.4748999999999999
2	3	2009	-2.7778	5.0	0.0	2.4914
3	3	2009	-5.5556	7.2222	0.0	2.3372
4	3	2009	-0.5556	11.6667	0.0	2.7544
5	3	2009	1.6667	17.2222	0.0	3.48
6	3	2009	9.4444	21.1111	0.0	3.4819
7	3	2009	11.1111	22.7778	0.0	3.611
8	3	2009	10.0	23.3333	0.0	3.7637
9	3	2009	16.1111	26.1111	0.0	3.8788
10	3	2009	16.1111	25.5556	0.0	4.3264000000000005
11	3	2009	13.3333	25.0	0.0	4.5169
12	3	2009	7.2222	22.2222	0.0	4.5146
13	3	2009	7.2222	13.8889	0.05	3.685
14	3	2009	4.0741	7.2222	5.05	1.5913
15	3	2009	6.6667	11.6667	13.15	2.0028
16	3	2009	10.5556	14.1667	8.55	2.6864
17	3	2009	8.3333	20.5556	0.0	3.2673
18	3	2009	8.8889	18.8889	0.1	2.7454
19	3	2009	8.8889	22.7778	0.0	4.606
20	3	2009	8.8889	18.8889	0.0	4.6303
21	3	2009	5.5556	17.7778	0.0	4.0315
22	3	2009	5.5556	20.0	0.0	3.9792
23	3	2009	8.3333	21.1111	0.0	4.4693
24	3	2009	10.0	20.5556	0.0	3.8183
25	3	2009	12.7778	18.3333	3.15	3.5339
26	3	2009	12.7778	19.4444	36.300000000000004	2.874
27	3	2009	13.8889	17.2222	40.5	2.5423999999999998
28	3	2009	15.0	16.6667	24.15	2.6094
29	3	2009	6.1111	17.2222	0.0	2.8587
30	3	2009	2.7778	19.4444	0.0	3.487
31	3	2009	9.4444	16.1111	0.5	3.5117
1	4	2009	13.8889	20.0	8.4	3.7073
2	4	2009	15.0	17.037	32.55	2.6641
3	4	2009	9.4444	16.3889	0.15000000000000002	3.4117
4	4	2009	6.1111	23.3333	0.0	4.1339
5	4	2009	12.2222	16.9444	1.55	3.4803
6	4	2009	3.8889	16.1111	0.6	2.9091
7	4	2009	1.6667	7.7778	0.25	2.6801
8	4	2009	1.1111	18.8889	0.0	4.6791
9	4	2009	10.0	23.8889	0.0	5.6287
10	4	2009	14.0741	23.8889	6.6	4.4007000000000005
11	4	2009	9.4444	15.2778	0.0	3.5851
12	4	2009	6.6667	21.1111	0.05	4.8053
13	4	2009	11.1111	17.2222	22.25	3.0118
14	4	2009	9.4444	18.3333	1.9500000000000002	3.8858
15	4	2009	7.2222	16.1111	0.0	3.9057
16	4	2009	7.2222	20.0	0.0	4.2120999999999995
17	4	2009	8.8889	20.5556	0.0	4.7343
18	4	2009	8.3333	22.2222	0.0	4.708
19	4	2009	14.4444	20.0	2.15	3.9513
20	4	2009	12.2222	20.5556	10.6	4.1975
21	4	2009	10.5556	20.5556	0.0	5.5708
22	4	2009	7.2222	21.1111	0.0	5.1714
23	4	2009	15.0	27.2222	27.25	5.2688
24	4	2009	14.4444	28.8889	0.0	5.9962
25	4	2009	16.1111	29.4444	0.0	6.6331
26	4	2009	16.1111	26.6667	0.0	5.9491000000000005
27	4	2009	15.0	25.0	0.0	5.2312
28	4	2009	16.1111	25.5556	0.0	5.427
29	4	2009	15.5556	26.1111	0.0	5.6567
30	4	2009	16.1111	26.1111	0.0	5.7842
1	5	2009	17.5	25.0	1.95	5.3318
2	5	2009	16.1111	25.0	7.6	4.4183
3	5	2009	17.7778	26.6667	2.35	5.0042
4	5	2009	16.9444	23.3333	24.15	4.6601
5	5	2009	18.0556	26.6667	0.1	5.1678999999999995
6	5	2009	18.3333	25.0	16.05	4.2639000000000005
7	5	2009	18.8889	27.2222	2.8	5.1668
8	5	2009	20.0	27.7778	0.0	4.9302
9	5	2009	19.0741	27.7778	0.15000000000000002	5.2238999999999995
10	5	2009	18.3333	25.5556	1.2000000000000002	5.0546
11	5	2009	16.6667	25.0	1.85	5.0996
12	5	2009	14.1667	22.2222	0.1	4.9082
13	5	2009	14.4444	20.5556	0.30000000000000004	4.6254
14	5	2009	17.2222	26.6667	0.0	5.423
15	5	2009	19.4444	29.4444	0.15000000000000002	6.176
16	5	2009	19.0741	22.2222	51.449999999999996	4.6167
17	5	2009	12.5926	18.8889	3.95	3.6021
18	5	2009	10.5556	19.4444	0.0	4.6978
19	5	2009	10.0	21.1111	0.0	6.5434
20	5	2009	15.8333	25.0	0.0	7.0914
21	5	2009	17.2222	22.037	1.2	4.4366
22	5	2009	17.7778	22.7778	2.9	4.2724
23	5	2009	18.8889	24.2593	8.35	4.2514
24	5	2009	18.8889	25.1852	2.6	4.6754999999999995
25	5	2009	18.8889	26.1111	0.35	4.8972
26	5	2009	18.3333	25.0	7.5	4.8074
27	5	2009	18.8889	27.7778	0.2	5.384
28	5	2009	19.1667	28.3333	0.05	5.9367
29	5	2009	18.3333	26.1111	0.0	5.8684
30	5	2009	15.5556	28.3333	0.0	6.2511
31	5	2009	18.3333	31.1111	0.0	7.1343
1	6	2009	20.0	31.6667	0.0	6.5413
2	6	2009	21.1111	31.6667	0.0	7.0734
3	6	2009	20.5556	30.0	0.0	6.6656
4	6	2009	20.0	23.8889	10.35	5.1004
5	6	2009	18.8889	26.1111	0.1	5.4553
